nephilim heritage	"heritage:nephilim"	Nephilim
harbinger's armament	"feat:harbingers-armament"	Harbinger's Armament
advanced order training	"feat:advanced-order-training"	Advanced Order Training
elemental transformation	"feat:elemental-transformation"	Elemental Transformation
dart between	"feat:dart-between"	Dart Between
extraplanar cloud	"feat:extraplanar-cloud"	Extraplanar Cloud
titan wrestler	"feat:titan-wrestler"	Titan Wrestler
wolf in sheep's clothing	"feat:wolf-in-sheeps-clothing"	Wolf in Sheep's Clothing
timeline-splitting spell	"feat:timeline-splitting-spell"	Timeline-Splitting Spell
righteous resistance	"feat:righteous-resistance"	Righteous Resistance
aquatic eyes	"feat:aquatic-eyes"	Aquatic Eyes
siphon power	"feat:siphon-power"	Siphon Power
animalistic brutality	"feat:animalistic-brutality"	Animalistic Brutality
beast gunner dedication	"feat:beast-gunner-dedication"	Beast Gunner Dedication
advanced deduction	"feat:advanced-deduction"	Advanced Deduction
summon nephilim kin	"feat:summon-nephilim-kin"	Summon Nephilim Kin
banner's inspiration	"feat:banners-inspiration"	Banner's Inspiration
siege ritualist	"feat:siege-ritualist"	Siege Ritualist
impossible polymath	"feat:impossible-polymath"	Impossible Polymath
arcane fists	"feat:arcane-fists"	Arcane Fists
strix defender	"feat:strix-defender"	Strix Defender
expand spiral	"feat:expand-spiral"	Expand Spiral
persistent creation	"feat:persistent-creation"	Persistent Creation
defy sorrow	"feat:defy-sorrow"	Defy Sorrow
antler rush	"feat:antler-rush"	Antler Rush
scatter blast	"feat:scatter-blast"	Scatter Blast
quick stow	"feat:quick-stow-ratfolk"	Quick Stow (Ratfolk)
infinite possibilities	"feat:infinite-possibilities"	Infinite Possibilities
multifaceted will	"feat:multifaceted-will"	Multifaceted Will
finned ridges	"feat:finned-ridges"	Finned Ridges
ubiquitous weakness	"feat:ubiquitous-weakness"	Ubiquitous Weakness
reactive distraction	"feat:reactive-distraction"	Reactive Distraction
criminal connections	"feat:criminal-connections"	Criminal Connections
halcyon spellcasting adept	"feat:halcyon-spellcasting-adept"	Halcyon Spellcasting Adept
rejoice in solstice storm	"feat:rejoice-in-solstice-storm"	Rejoice in Solstice Storm
redirect teleportation	"feat:redirect-teleportation"	Redirect Teleportation
grand scroll esoterica	"feat:grand-scroll-esoterica"	Grand Scroll Esoterica
reflexive stance	"feat:reflexive-stance"	Reflexive Stance
curse maelstrom dedication	"feat:curse-maelstrom-dedication"	Curse Maelstrom Dedication
overcrowd	"feat:overcrowd"	Overcrowd
thlipit contestant dedication	"feat:thlipit-contestant-dedication"	Thlipit Contestant Dedication
minuscule mentee	"feat:minuscule-mentee"	Minuscule Mentee
effortless reach	"feat:effortless-reach"	Effortless Reach
surging blood magic	"feat:surging-blood-magic"	Surging Blood Magic
reclaim spell	"feat:reclaim-spell"	Reclaim Spell
gnaw	"feat:gnaw"	Gnaw
corpse tender's font	"feat:corpse-tenders-font"	Corpse Tender's Font
recharging transference	"feat:recharging-transference"	Recharging Transference
greater expanded repertoire	"feat:greater-expanded-repertoire"	Greater Expanded Repertoire
cat fall	"feat:cat-fall"	Cat Fall
sense thoughts	"feat:sense-thoughts"	Sense Thoughts
incorporeal shot	"feat:incorporeal-shot"	Incorporeal Shot
tenacious endurance	"feat:tenacious-endurance"	Tenacious Endurance
necromantic heir	"feat:necromantic-heir"	Necromantic Heir
avenge ally	"feat:avenge-ally"	Avenge Ally
instinctive strike	"feat:instinctive-strike"	Instinctive Strike
faultless defense	"feat:faultless-defense"	Faultless Defense
awakened magic	"feat:awakened-magic"	Awakened Magic
arcane communication	"feat:arcane-communication"	Arcane Communication
persistent boost	"feat:persistent-boost"	Persistent Boost
verdant presence	"feat:verdant-presence"	Verdant Presence
slink	"feat:slink"	Slink
armor assist	"feat:armor-assist"	Armor Assist
ferocious shape	"feat:ferocious-shape"	Ferocious Shape
living stone	"feat:living-stone"	Living Stone
sage of scattered leaves	"feat:sage-of-scattered-leaves"	Sage of Scattered Leaves
no hard feelings	"feat:no-hard-feelings"	No Hard Feelings
freeze it!	"feat:freeze-it"	Freeze It!
unlimited ghost flight	"feat:unlimited-ghost-flight"	Unlimited Ghost Flight
healing nexus	"feat:healing-nexus"	Healing Nexus
withstand death	"feat:withstand-death"	Withstand Death
adept storyteller	"feat:adept-storyteller"	Adept Storyteller
rise, my creature!	"feat:rise-my-creature"	Rise, My Creature!
palatine detective dedication	"feat:palatine-detective-dedication"	Palatine Detective Dedication
rose warden dedication	"feat:rose-warden-dedication"	Rose Warden Dedication
soothing ballad	"feat:soothing-ballad"	Soothing Ballad
guiding words	"feat:guiding-words"	Guiding Words
heal mount	"feat:heal-mount"	Heal Mount
wind seeker	"feat:wind-seeker"	Wind Seeker
azaersi's roads	"feat:azaersis-roads"	Azaersi's Roads
staff acrobat dedication	"feat:staff-acrobat-dedication"	Staff Acrobat Dedication
nodal healing	"feat:nodal-healing"	Nodal Healing
construct shell	"feat:construct-shell"	Construct Shell
commitment to valor	"feat:commitment-to-valor"	Commitment to Valor
story crooner	"feat:story-crooner"	Story Crooner
clan pistol	"feat:clan-pistol"	Clan Pistol
electrify armor	"feat:electrify-armor"	Electrify Armor
mythic allies	"feat:mythic-allies"	Mythic Allies
delver	"feat:delver"	Delver
propelled leap	"feat:propelled-leap"	Propelled Leap
hybrid shape	"feat:hybrid-shape"	Hybrid Shape
demolitionist dedication	"feat:demolitionist-dedication"	Demolitionist Dedication
crimson shroud	"feat:crimson-shroud"	Crimson Shroud
unified stance	"feat:unified-stance"	Unified Stance
jungle strider	"feat:jungle-strider"	Jungle Strider
tusks	"feat:tusks-orc"	Tusks (Orc)
ears of the forest	"feat:ears-of-the-forest"	Ears of the Forest
undead master dedication	"feat:undead-master-dedication"	Undead Master Dedication
circle of spirits	"feat:circle-of-spirits"	Circle of Spirits
secret eyes	"feat:secret-eyes"	Secret Eyes
gravelands herbalist	"feat:gravelands-herbalist"	Gravelands Herbalist
steal for the depths	"feat:steal-for-the-depths"	Steal for the Depths
uncanny suction	"feat:uncanny-suction"	Uncanny Suction
vomit stomach	"feat:vomit-stomach"	Vomit Stomach
giant's lunge	"feat:giants-lunge"	Giant's Lunge
campfire chronicler dedication	"feat:campfire-chronicler-dedication"	Campfire Chronicler Dedication
bound in ice	"feat:bound-in-ice"	Bound in Ice
cobble dancer	"feat:cobble-dancer"	Cobble Dancer
glean lore	"feat:glean-lore"	Glean Lore
medic dedication	"feat:medic-dedication"	Medic Dedication
hardened chassis	"feat:hardened-chassis"	Hardened Chassis
domain embodiment	"feat:domain-embodiment"	Domain Embodiment
instant armor	"feat:instant-armor"	Instant Armor
living rune	"feat:living-rune"	Living Rune
comforting presence	"feat:comforting-presence"	Comforting Presence
celebrity dedication	"feat:celebrity-dedication"	Celebrity Dedication
sacred armaments	"feat:sacred-armaments"	Sacred Armaments
community needs	"feat:community-needs"	Community Needs
bounce back	"feat:bounce-back"	Bounce Back
reveal hidden self	"feat:reveal-hidden-self"	Reveal Hidden Self
ongoing selfishness	"feat:ongoing-selfishness"	Ongoing Selfishness
jelly body	"feat:jelly-body"	Jelly Body
eternal torch	"feat:eternal-torch"	Eternal Torch
surging focus	"feat:surging-focus"	Surging Focus
empathetic plea	"feat:empathetic-plea"	Empathetic Plea
preventative treatment	"feat:preventative-treatment"	Preventative Treatment
calm and centered	"feat:calm-and-centered"	Calm and Centered
water sprint	"feat:water-sprint"	Water Sprint
heir of the saoc	"feat:heir-of-the-saoc"	Heir of the Saoc
homing beacon	"feat:homing-beacon"	Homing Beacon
walk on the wind	"feat:walk-on-the-wind"	Walk on the Wind
firework technician dedication	"feat:firework-technician-dedication"	Firework Technician Dedication
efficient explorer	"feat:efficient-explorer"	Efficient Explorer
too much to swallow	"feat:too-much-to-swallow"	Too Much to Swallow
familiar ritualist	"feat:familiar-ritualist"	Familiar Ritualist
theoretical acumen	"feat:theoretical-acumen"	Theoretical Acumen
duelist's form	"feat:duelists-form"	Duelist's Form
marshal dedication	"feat:marshal-dedication"	Marshal Dedication
liberty's promise	"feat:libertys-promise"	Liberty's Promise
perfect dive	"feat:perfect-dive"	Perfect Dive
lock on	"feat:lock-on"	Lock On
assume godhood	"feat:assume-godhood"	Assume Godhood
come at me!	"feat:come-at-me"	Come at Me!
gaze of veracity	"feat:gaze-of-veracity"	Gaze of Veracity
energy fusion	"feat:energy-fusion"	Energy Fusion
march of law	"feat:march-of-law"	March of Law
tactical entry	"feat:tactical-entry"	Tactical Entry
avatar's protection	"feat:avatars-protection"	Avatar's Protection
greater snow step	"feat:greater-snow-step"	Greater Snow Step
stand still	"feat:stand-still"	Stand Still
interrupt charge	"feat:interrupt-charge"	Interrupt Charge
recognize spell	"feat:recognize-spell"	Recognize Spell
perfect distraction	"feat:perfect-distraction"	Perfect Distraction
summon wood elemental	"feat:summon-wood-elemental"	Summon Wood Elemental
necromantic resistance	"feat:necromantic-resistance-undead-slayer"	Necromantic Resistance (Undead Slayer)
warrior of legend dedication	"feat:warrior-of-legend-dedication"	Warrior of Legend Dedication
precious ammunition	"feat:precious-ammunition"	Precious Ammunition
phantom charm	"feat:phantom-charm"	Phantom Charm
weapon improviser dedication	"feat:weapon-improviser-dedication"	Weapon Improviser Dedication
necromantic resistance	"feat:necromantic-resistance"	Necromantic Resistance
sword of sealing	"feat:sword-of-sealing"	Sword of Sealing
iridian choirmaster dedication	"feat:iridian-choirmaster-dedication"	Iridian Choirmaster Dedication
think twice	"feat:think-twice"	Think Twice
folktales lore	"feat:folktales-lore"	Folktales Lore
raise haft	"feat:raise-haft"	Raise Haft
pack attack	"feat:pack-attack"	Pack Attack
shisk lore	"feat:shisk-lore"	Shisk Lore
desiccating inhalation	"feat:desiccating-inhalation"	Desiccating Inhalation
warshard rune	"feat:warshard-rune"	Warshard Rune
coffin bound	"feat:coffin-bound"	Coffin Bound
deceptive tactics	"feat:deceptive-tactics"	Deceptive Tactics
perpetual breadth	"feat:perpetual-breadth"	Perpetual Breadth
merciful elixir	"feat:merciful-elixir"	Merciful Elixir
godspeed	"feat:godspeed"	Godspeed
intuitive illusions	"feat:intuitive-illusions"	Intuitive Illusions
stealthy companion	"feat:stealthy-companion"	Stealthy Companion
golem grafter dedication	"feat:golem-grafter-dedication"	Golem Grafter Dedication
ranged disarm	"feat:ranged-disarm"	Ranged Disarm
fountain of secrets	"feat:fountain-of-secrets"	Fountain of Secrets
basic glory	"feat:basic-glory"	Basic Glory
resilient shell	"feat:resilient-shell"	Resilient Shell
posse	"feat:posse"	Posse
command attention	"feat:command-attention"	Command Attention
shadow sneak attack	"feat:shadow-sneak-attack"	Shadow Sneak Attack
bloodline mutation	"feat:bloodline-mutation"	Bloodline Mutation
inner fire	"feat:inner-fire-naari"	Inner Fire (Naari)
tales of the road	"feat:tales-of-the-road"	Tales of the Road
we are one	"feat:we-are-one"	We Are One
shared stratagem	"feat:shared-stratagem"	Shared Stratagem
overburn	"feat:overburn"	Overburn
unassuming heroes	"feat:unassuming-heroes"	Unassuming Heroes
benefactor's wings	"feat:benefactors-wings"	Benefactor's Wings
plot the future	"feat:plot-the-future"	Plot the Future
shadow mark	"feat:shadow-mark"	Shadow Mark
enhanced familiar	"feat:enhanced-familiar"	Enhanced Familiar
a miracle of science!	"feat:a-miracle-of-science"	A Miracle of Science!
arcane camouflage	"feat:arcane-camouflage"	Arcane Camouflage
fox arson	"feat:fox-arson"	Fox Arson
fast recovery	"feat:fast-recovery"	Fast Recovery
violent unleash	"feat:violent-unleash"	Violent Unleash
flash of omnipresence	"feat:flash-of-omnipresence"	Flash of Omnipresence
sociable vow	"feat:sociable-vow"	Sociable Vow
master spellcasting	"feat:master-spellcasting"	Master Spellcasting
fascinated by society	"feat:fascinated-by-society"	Fascinated by Society
energized font	"feat:energized-font"	Energized Font
overdrive ally	"feat:overdrive-ally"	Overdrive Ally
magpie snatch	"feat:magpie-snatch"	Magpie Snatch
cayden's freedom	"feat:caydens-freedom"	Cayden's Freedom
concentrated assault	"feat:concentrated-assault"	Concentrated Assault
greater vital evolution	"feat:greater-vital-evolution"	Greater Vital Evolution
explosive maneuver	"feat:explosive-maneuver"	Explosive Maneuver
jotun's boost	"feat:jotuns-boost"	Jotun's Boost
preemptive reconfiguration	"feat:preemptive-reconfiguration"	Preemptive Reconfiguration
ward against corruption	"feat:ward-against-corruption"	Ward Against Corruption
wonder worker	"feat:wonder-worker"	Wonder Worker
swaggering initiative	"feat:swaggering-initiative"	Swaggering Initiative
jungle runner	"feat:jungle-runner"	Jungle Runner
liberty or death	"feat:liberty-or-death"	Liberty or Death
rock runner	"feat:rock-runner"	Rock Runner
superior propulsion	"feat:superior-propulsion"	Superior Propulsion
final form	"feat:final-form"	Final Form
ward slumber	"feat:ward-slumber"	Ward Slumber
deadeye	"feat:deadeye"	Deadeye
living epic	"feat:living-epic"	Living Epic
the taste of magic	"feat:the-taste-of-magic"	The Taste of Magic
winter's embrace	"feat:winters-embrace"	Winter's Embrace
thoughtsense	"feat:thoughtsense"	Thoughtsense
additional shadow magic	"feat:additional-shadow-magic"	Additional Shadow Magic
ring their bell	"feat:ring-their-bell"	Ring Their Bell
reactive strike	"feat:reactive-strike"	Reactive Strike
prepare elemental medicine	"feat:prepare-elemental-medicine"	Prepare Elemental Medicine
pierce the darkness	"feat:pierce-the-darkness"	Pierce the Darkness
vanara battle clarity	"feat:vanara-battle-clarity"	Vanara Battle Clarity
forestall curse	"feat:forestall-curse"	Forestall Curse
conrasu weapon understanding	"feat:conrasu-weapon-understanding"	Conrasu Weapon Understanding
stone soul siblings	"feat:stone-soul-siblings"	Stone Soul Siblings
transpose	"feat:transpose"	Transpose
replenishing consumption	"feat:replenishing-consumption"	Replenishing Consumption
basic bard spellcasting	"feat:basic-bard-spellcasting"	Basic Bard Spellcasting
cadre	"feat:cadre"	Cadre
triumphant boast	"feat:triumphant-boast"	Triumphant Boast
kinetic activation	"feat:kinetic-activation"	Kinetic Activation
impossible volley	"feat:impossible-volley"	Impossible Volley
ghostly condemnation	"feat:ghostly-condemnation"	Ghostly Condemnation
progenitor lore	"feat:progenitor-lore"	Progenitor Lore
aldori parry	"feat:aldori-parry"	Aldori Parry
reverse engineer	"feat:reverse-engineer"	Reverse Engineer
skittering sneak	"feat:skittering-sneak"	Skittering Sneak
firebrand braggart dedication	"feat:firebrand-braggart-dedication"	Firebrand Braggart Dedication
guarded advance	"feat:guarded-advance-knight-vigilant"	Guarded Advance (Knight Vigilant)
mirror refuge	"feat:mirror-refuge"	Mirror Refuge
necrologist dedication	"feat:necrologist-dedication"	Necrologist Dedication
basic mysteries	"feat:basic-mysteries"	Basic Mysteries
dispelling spellstrike	"feat:dispelling-spellstrike"	Dispelling Spellstrike
hunting snag	"feat:hunting-snag"	Hunting Snag
running kick	"feat:running-kick"	Running Kick
aether beam	"feat:aether-beam"	Aether Beam
songbird's call	"feat:songbirds-call"	Songbird's Call
appraiser’s eye	"feat:appraisers-eye"	Appraiser’s Eye
strategic bypass	"feat:strategic-bypass"	Strategic Bypass
witness of earth	"feat:witness-of-earth"	Witness of Earth
shadow sight	"feat:shadow-sight"	Shadow Sight
exemplar expertise	"feat:exemplar-expertise"	Exemplar Expertise
advanced alchemy	"feat:advanced-alchemy"	Advanced Alchemy
inertial barrier	"feat:inertial-barrier"	Inertial Barrier
disrupting strikes	"feat:disrupting-strikes"	Disrupting Strikes
immortal ruin	"feat:immortal-ruin"	Immortal Ruin
stone face	"feat:stone-face"	Stone Face
scorching disarm	"feat:scorching-disarm"	Scorching Disarm
blessed sacrifice	"feat:blessed-sacrifice"	Blessed Sacrifice
crystal ward spells	"feat:crystal-ward-spells"	Crystal Ward Spells
vicious rend	"feat:vicious-rend"	Vicious Rend
ragdya's revelry	"feat:ragdyas-revelry"	Ragdya's Revelry
echoing spell	"feat:echoing-spell"	Echoing Spell
crossbow infiltrator dedication	"feat:crossbow-infiltrator-dedication"	Crossbow Infiltrator Dedication
uncanny prediction	"feat:uncanny-prediction"	Uncanny Prediction
impressive mount	"feat:impressive-mount"	Impressive Mount
consult the stars	"feat:consult-the-stars"	Consult the Stars
uncanny vitae	"feat:uncanny-vitae"	Uncanny Vitae
rough terrain stance	"feat:rough-terrain-stance"	Rough Terrain Stance
greater despair	"feat:greater-despair"	Greater Despair
putrefaction	"feat:putrefaction"	Putrefaction
daring flourish	"feat:daring-flourish"	Daring Flourish
greater physical evolution	"feat:greater-physical-evolution"	Greater Physical Evolution
slip the grasp	"feat:slip-the-grasp"	Slip the Grasp
decree of prosperity	"feat:decree-of-prosperity"	Decree of Prosperity
strike rivers, seize winds	"feat:strike-rivers-seize-winds"	Strike Rivers, Seize Winds
gather disciples	"feat:gather-disciples"	Gather Disciples
duskwalker lore	"feat:duskwalker-lore"	Duskwalker Lore
consistent surge	"feat:consistent-surge"	Consistent Surge
hefting shadow	"feat:hefting-shadow"	Hefting Shadow
focused cat nap	"feat:focused-cat-nap"	Focused Cat Nap
pantheon magic	"feat:pantheon-magic"	Pantheon Magic
cut them down, burn them out	"feat:cut-them-down-burn-them-out"	Cut them Down, Burn them Out
dance underfoot	"feat:dance-underfoot"	Dance Underfoot
vishkanya weapon arts	"feat:vishkanya-weapon-arts"	Vishkanya Weapon Arts
stalwart standard	"feat:stalwart-standard"	Stalwart Standard
smoke bomb	"feat:smoke-bomb"	Smoke Bomb
pit of snakes	"feat:pit-of-snakes"	Pit of Snakes
disruptive stance	"feat:disruptive-stance"	Disruptive Stance
explosive death drop	"feat:explosive-death-drop"	Explosive Death Drop
lava leap	"feat:lava-leap"	Lava Leap
prophet of kalistrade dedication	"feat:prophet-of-kalistrade-dedication"	Prophet of Kalistrade Dedication
return fire	"feat:return-fire"	Return Fire
brutal crush	"feat:brutal-crush"	Brutal Crush
stand firm	"feat:stand-firm"	Stand Firm
heal animal	"feat:heal-animal"	Heal Animal
camouflage coat	"feat:camouflage-coat"	Camouflage Coat
favorable winds	"feat:favorable-winds"	Favorable Winds
long tongue	"feat:long-tongue"	Long Tongue
elemental assault	"feat:elemental-assault"	Elemental Assault
demon slayer	"feat:demon-slayer"	Demon Slayer
commitment to justice	"feat:commitment-to-justice"	Commitment to Justice
spirit's sacrifice	"feat:spirits-sacrifice"	Spirit's Sacrifice
recognize ambush	"feat:recognize-ambush"	Recognize Ambush
ash-piercing gaze	"feat:ash-piercing-gaze"	Ash-Piercing Gaze
resplendent spellhorn	"feat:resplendent-spellhorn"	Resplendent Spellhorn
expert backstabber	"feat:expert-backstabber"	Expert Backstabber
kobold weapon familiarity	"feat:kobold-weapon-familiarity"	Kobold Weapon Familiarity
oracle dedication	"feat:oracle-dedication"	Oracle Dedication
psychic dedication	"feat:psychic-dedication"	Psychic Dedication
eternal wings	"feat:eternal-wings-nephilim"	Eternal Wings (Nephilim)
insect shape	"feat:insect-shape"	Insect Shape
dancing leaf	"feat:dancing-leaf"	Dancing Leaf
defy death	"feat:defy-death"	Defy Death
inner strength	"feat:inner-strength"	Inner Strength
pact of the death hunter	"feat:pact-of-the-death-hunter"	Pact of the Death Hunter
goblin weapon familiarity	"feat:goblin-weapon-familiarity"	Goblin Weapon Familiarity
head of the night parade	"feat:head-of-the-night-parade"	Head of the Night Parade
shining runes	"feat:shining-runes"	Shining Runes
leech-clip	"feat:leech-clip"	Leech-Clip
shoulder catastrophe	"feat:shoulder-catastrophe"	Shoulder Catastrophe
starshot arrow	"feat:starshot-arrow"	Starshot Arrow
decree of war	"feat:decree-of-war"	Decree of War
eerie proclamation	"feat:eerie-proclamation"	Eerie Proclamation
rapid response	"feat:rapid-response"	Rapid Response
the cycle continues	"feat:the-cycle-continues"	The Cycle Continues
accurate swing	"feat:accurate-swing"	Accurate Swing
mythic refocus	"feat:mythic-refocus"	Mythic Refocus
palatine strike	"feat:palatine-strike"	Palatine Strike
healer's halo	"feat:healers-halo"	Healer's Halo
speak for the gravelands	"feat:speak-for-the-gravelands"	Speak for the Gravelands
goblin club	"feat:goblin-club"	Goblin Club
hybrid form	"feat:hybrid-form"	Hybrid Form
strong arm	"feat:strong-arm"	Strong Arm
incredible dragon companion	"feat:incredible-dragon-companion"	Incredible Dragon Companion
well-armed	"feat:well-armed"	Well-Armed
discerning strike	"feat:discerning-strike"	Discerning Strike
war mage dedication	"feat:war-mage-dedication"	War Mage Dedication
ringmaster's introduction	"feat:ringmasters-introduction"	Ringmaster's Introduction
mana detonation	"feat:mana-detonation"	Mana Detonation
death speaker	"feat:death-speaker"	Death Speaker
hellknight mobility	"feat:hellknight-mobility"	Hellknight Mobility
ask the bones	"feat:ask-the-bones"	Ask the Bones
armored rest	"feat:armored-rest"	Armored Rest
incredible familiar	"feat:incredible-familiar-animist"	Incredible Familiar (Animist)
panache paragon	"feat:panache-paragon"	Panache Paragon
only the worthy	"feat:only-the-worthy"	Only the Worthy
animal shape	"feat:animal-shape"	Animal Shape
molten wit	"feat:molten-wit"	Molten Wit
impossible flurry	"feat:impossible-flurry"	Impossible Flurry
scroll esoterica	"feat:scroll-esoterica"	Scroll Esoterica
reactive striker	"feat:reactive-striker"	Reactive Striker
devrin's cunning stance	"feat:devrins-cunning-stance"	Devrin's Cunning Stance
metabolic control	"feat:metabolic-control"	Metabolic Control
rule of three	"feat:rule-of-three"	Rule of Three
eye of the arclords	"feat:eye-of-the-arclords"	Eye of the Arclords
brastlewark snare engineering	"feat:brastlewark-snare-engineering"	Brastlewark Snare Engineering
ocean wariness	"feat:ocean-wariness"	Ocean Wariness
metal-veined strikes	"feat:metal-veined-strikes"	Metal-veined Strikes
one with the spirits	"feat:one-with-the-spirits"	One with the Spirits
aeon resonance	"feat:aeon-resonance"	Aeon Resonance
determined lore seeker	"feat:determined-lore-seeker"	Determined Lore Seeker
furious vengeance	"feat:furious-vengeance"	Furious Vengeance
ghostly grasp	"feat:ghostly-grasp"	Ghostly Grasp
keep pace	"feat:keep-pace"	Keep Pace
quick climb	"feat:quick-climb"	Quick Climb
herald's strike	"feat:heralds-strike"	Herald's Strike
statement strut	"feat:statement-strut"	Statement Strut
rouse the forest's fury	"feat:rouse-the-forests-fury"	Rouse the Forest's Fury
ferocity mimicry	"feat:ferocity-mimicry"	Ferocity Mimicry
disrupt qi	"feat:disrupt-qi"	Disrupt Qi
distant cackle	"feat:distant-cackle"	Distant Cackle
moray eel mount	"feat:moray-eel-mount"	Moray Eel Mount
svetocher	"feat:svetocher"	Svetocher
tracing trance	"feat:tracing-trance"	Tracing Trance
like a fish in water	"feat:like-a-fish-in-water"	Like a Fish in Water
convergent tides	"feat:convergent-tides"	Convergent Tides
abjure the false kin	"feat:abjure-the-false-kin"	Abjure the False Kin
aqueous dragonblood	"feat:aqueous-dragonblood"	Aqueous Dragonblood
ride the tsunami	"feat:ride-the-tsunami"	Ride the Tsunami
mind projectiles	"feat:mind-projectiles"	Mind Projectiles
esoteric warden	"feat:esoteric-warden"	Esoteric Warden
skill training	"feat:skill-training"	Skill Training
luring chomp	"feat:luring-chomp"	Luring Chomp
multilingual	"feat:multilingual"	Multilingual
surki lore	"feat:surki-lore"	Surki Lore
sanctify water	"feat:sanctify-water"	Sanctify Water
shield paragon	"feat:shield-paragon"	Shield Paragon
finish their story!	"feat:finish-their-story"	Finish Their Story!
demon's hair	"feat:demons-hair"	Demon's Hair
bodily disintegration	"feat:bodily-disintegration"	Bodily Disintegration
gruesome strike	"feat:gruesome-strike"	Gruesome Strike
springboard	"feat:springboard"	Springboard
oracular providence	"feat:oracular-providence"	Oracular Providence
draconic paragon	"feat:draconic-paragon"	Draconic Paragon
germination of resolve	"feat:germination-of-resolve"	Germination of Resolve
pistol phenom dedication	"feat:pistol-phenom-dedication"	Pistol Phenom Dedication
artery map	"feat:artery-map"	Artery Map
halo	"feat:halo"	Halo
ancestral mind	"feat:ancestral-mind"	Ancestral Mind
panic the dead	"feat:panic-the-dead"	Panic the Dead
farabellus flip	"feat:farabellus-flip"	Farabellus Flip
razorsharp bite	"feat:razorsharp-bite"	Razorsharp Bite
annotate composition	"feat:annotate-composition"	Annotate Composition
the world devours	"feat:the-world-devours"	The World Devours
expert cleric spellcasting	"feat:expert-cleric-spellcasting"	Expert Cleric Spellcasting
idol threat	"feat:idol-threat"	Idol Threat
fighter resiliency	"feat:fighter-resiliency"	Fighter Resiliency
tandem auras	"feat:tandem-auras"	Tandem Auras
master wizard spellcasting	"feat:master-wizard-spellcasting"	Master Wizard Spellcasting
nightwave springing reload	"feat:nightwave-springing-reload"	Nightwave Springing Reload
basic druid spellcasting	"feat:basic-druid-spellcasting"	Basic Druid Spellcasting
worm caller dedication	"feat:worm-caller-dedication"	Worm Caller Dedication
trickster's ace	"feat:tricksters-ace"	Trickster's Ace
dual finisher	"feat:dual-finisher"	Dual Finisher
reveal beasts	"feat:reveal-beasts"	Reveal Beasts
kobold breath	"feat:kobold-breath"	Kobold Breath
additional follower	"feat:additional-follower"	Additional Follower
vulpine scamper	"feat:vulpine-scamper"	Vulpine Scamper
archaeologist dedication	"feat:archaeologist-dedication"	Archaeologist Dedication
tripkee glide	"feat:tripkee-glide"	Tripkee Glide
shambling march	"feat:shambling-march"	Shambling March
death's door	"feat:deaths-door"	Death's Door
entwined energy ki	"feat:entwined-energy-ki"	Entwined Energy Ki
thrall charger	"feat:thrall-charger"	Thrall Charger
twin psyche	"feat:twin-psyche"	Twin Psyche
deeper dabbler	"feat:deeper-dabbler"	Deeper Dabbler
straveika	"feat:straveika"	Straveika
rivethun adept	"feat:rivethun-adept"	Rivethun Adept
hunter's fangs	"feat:hunters-fangs"	Hunter's Fangs
blackjacket dedication	"feat:blackjacket-dedication"	Blackjacket Dedication
the thousand lashes of the weeping willow	"feat:the-thousand-lashes-of-the-weeping-willow"	The Thousand Lashes of the Weeping Willow
recoiling relocation	"feat:recoiling-relocation"	Recoiling Relocation
transcribe moment	"feat:transcribe-moment"	Transcribe Moment
ancestral healer	"feat:ancestral-healer"	Ancestral Healer
otherworldly magic	"feat:otherworldly-magic"	Otherworldly Magic
tight follower	"feat:tight-follower"	Tight Follower
dissolution's sovereignty	"feat:dissolutions-sovereignty"	Dissolution's Sovereignty
necromantic tenacity	"feat:necromantic-tenacity"	Necromantic Tenacity
land legs	"feat:land-legs"	Land Legs
danse macabre	"feat:danse-macabre"	Danse Macabre
cornered animal	"feat:cornered-animal"	Cornered Animal
malleable mental forge	"feat:malleable-mental-forge"	Malleable Mental Forge
transposable compliance	"feat:transposable-compliance"	Transposable Compliance
venomous weapons	"feat:venomous-weapons"	Venomous Weapons
inner fire	"feat:inner-fire-monk"	Inner Fire (Monk)
legs of stone	"feat:legs-of-stone"	Legs of Stone
predict weather	"feat:predict-weather"	Predict Weather
aquatic passage	"feat:aquatic-passage"	Aquatic Passage
ceaseless shadows	"feat:ceaseless-shadows"	Ceaseless Shadows
big debut	"feat:big-debut"	Big Debut
terrain ghost	"feat:terrain-ghost"	Terrain Ghost
aldori's retort	"feat:aldoris-retort"	Aldori's Retort
divine emissary	"feat:divine-emissary"	Divine Emissary
constant levitation	"feat:constant-levitation"	Constant Levitation
impeccable crafting	"feat:impeccable-crafting"	Impeccable Crafting
deathly secrets	"feat:deathly-secrets"	Deathly Secrets
night's warning	"feat:nights-warning"	Night's Warning
fearsome familiar	"feat:fearsome-familiar"	Fearsome Familiar
soothing pulse	"feat:soothing-pulse"	Soothing Pulse
surrounding flames	"feat:surrounding-flames"	Surrounding Flames
orc ferocity	"feat:orc-ferocity"	Orc Ferocity
foreseen failure	"feat:foreseen-failure"	Foreseen Failure
ankle bite	"feat:ankle-bite"	Ankle Bite
natural ambition	"feat:natural-ambition"	Natural Ambition
cheek pouches	"feat:cheek-pouches"	Cheek Pouches
trailblazing stride	"feat:trailblazing-stride"	Trailblazing Stride
diverting vortex	"feat:diverting-vortex"	Diverting Vortex
