xenometric android heritage	"heritage:xenometric-android"	Xenometric Android
armor proficiency	"feat:armor-proficiency"	Armor Proficiency
draconic senses	"feat:draconic-senses"	Draconic Senses
extend directive	"feat:extend-directive"	Extend Directive
impressive lungs	"feat:impressive-lungs"	Impressive Lungs
soul-sworn bravery	"feat:soul-sworn-bravery"	Soul-Sworn Bravery
melodic adaptation	"feat:melodic-adaptation"	Melodic Adaptation
mageslayer	"feat:mageslayer"	Mageslayer
slimy osharu	"feat:slimy-osharu"	Slimy Osharu
drain blood	"feat:drain-blood"	Drain Blood
do you believe this joker?	"feat:do-you-believe-this-joker"	Do You Believe This Joker?
digital ambassador	"feat:digital-ambassador"	Digital Ambassador
additional lore	"feat:additional-lore"	Additional Lore
leading role	"feat:leading-role"	Leading Role
put it back together	"feat:put-it-back-together"	Put it Back Together
veteran trap finder	"feat:veteran-trap-finder"	Veteran Trap Finder
orbital defense	"feat:orbital-defense"	Orbital Defense
psychic mastery	"feat:psychic-mastery"	Psychic Mastery
unstoppable directives	"feat:unstoppable-directives"	Unstoppable Directives
masked	"feat:masked"	Masked
hefty hauler	"feat:hefty-hauler"	Hefty Hauler
dissect recordings	"feat:dissect-recordings"	Dissect Recordings
multitalented	"feat:multitalented"	Multitalented
intensified psychic shock	"feat:intensified-psychic-shock"	Intensified Psychic Shock
hero's edge	"feat:heros-edge"	Hero's Edge
only slightly dead	"feat:only-slightly-dead"	Only Slightly Dead
molecular modification	"feat:molecular-modification"	Molecular Modification
smug affirmation	"feat:smug-affirmation"	Smug Affirmation
difficult to drop	"feat:difficult-to-drop"	Difficult to Drop
natural camouflage	"feat:natural-camouflage"	Natural Camouflage
frightening display	"feat:frightening-display"	Frightening Display
pungent astrazoan	"feat:pungent-astrazoan"	Pungent Astrazoan
coagulation	"feat:coagulation"	Coagulation
friendly face	"feat:friendly-face"	Friendly Face
metabolic manipulation	"feat:metabolic-manipulation"	Metabolic Manipulation
disarming shot	"feat:disarming-shot"	Disarming Shot
fractal-lite	"feat:fractal-lite"	Fractal-Lite
biting corpsefolk	"feat:biting-corpsefolk"	Biting Corpsefolk
mindrender	"feat:mindrender"	Mindrender
quantum recycle	"feat:quantum-recycle"	Quantum Recycle
dwarven gravity hammer	"feat:dwarven-gravity-hammer"	Dwarven Gravity Hammer
natural empathy	"feat:natural-empathy"	Natural Empathy
soaring vulkarisu	"feat:soaring-vulkarisu"	Soaring Vulkarisu
alloyed attacks	"feat:alloyed-attacks"	Alloyed Attacks
defiant liberation	"feat:defiant-liberation"	Defiant Liberation
skitching	"feat:skitching"	Skitching
tactical flicker	"feat:tactical-flicker"	Tactical Flicker
improvised construction	"feat:improvised-construction"	Improvised Construction
gravitational master	"feat:gravitational-master"	Gravitational Master
thick skins	"feat:thick-skins"	Thick Skins
telekinetic titan	"feat:telekinetic-titan"	Telekinetic Titan
fly anything	"feat:fly-anything"	Fly Anything
swimming specialist	"feat:swimming-specialist"	Swimming Specialist
damoritosh's claw	"feat:damoritoshs-claw"	Damoritosh's Claw
steady balance	"feat:steady-balance"	Steady Balance
eldritch bond	"feat:eldritch-bond"	Eldritch Bond
acquire asset	"feat:acquire-asset"	Acquire Asset
shifter's squeeze	"feat:shifters-squeeze"	Shifter's Squeeze
psychic investigation	"feat:psychic-investigation"	Psychic Investigation
nanite repair	"feat:nanite-repair"	Nanite Repair
general training	"feat:general-training"	General Training
cellular static discharge	"feat:cellular-static-discharge"	Cellular Static Discharge
anti-theist resistance	"feat:anti-theist-resistance"	Anti-Theist Resistance
swift reposition	"feat:swift-reposition"	Swift Reposition
improved conductivity	"feat:improved-conductivity"	Improved Conductivity
adaptive adept	"feat:adaptive-adept"	Adaptive Adept
i'm the real one!	"feat:im-the-real-one"	I'm the Real One!
galloping grip	"feat:galloping-grip"	Galloping Grip
kick it into overdrive	"feat:kick-it-into-overdrive"	Kick it Into Overdrive
incredible tenacity	"feat:incredible-tenacity"	Incredible Tenacity
spectra transmission	"feat:spectra-transmission"	Spectra Transmission
eat it!	"feat:eat-it"	Eat It!
aspiring necrovite	"feat:aspiring-necrovite"	Aspiring Necrovite
protective subroutine	"feat:protective-subroutine"	Protective Subroutine
passive income	"feat:passive-income"	Passive Income
adaptive talent	"feat:adaptive-talent"	Adaptive Talent
ever vigilant	"feat:ever-vigilant"	Ever Vigilant
blood feast	"feat:blood-feast"	Blood Feast
dedicated training	"feat:dedicated-training"	Dedicated Training
operative exploit	"feat:operative-exploit"	Operative Exploit
canny survivor	"feat:canny-survivor"	Canny Survivor
strike from the world's core	"feat:strike-from-the-worlds-core"	Strike From the World's Core
basic soldier training	"feat:basic-soldier-training"	Basic Soldier Training
phasorq about town	"feat:phasorq-about-town"	Phasorq About Town
surprising escape	"feat:surprising-escape"	Surprising Escape
one with the stone	"feat:one-with-the-stone"	One with the Stone
protective bulk	"feat:protective-bulk"	Protective Bulk
enhanced echolocation	"feat:enhanced-echolocation"	Enhanced Echolocation
enduring echolocation	"feat:enduring-echolocation"	Enduring Echolocation
lie to me	"feat:lie-to-me"	Lie to Me
horn-cone mastery	"feat:horn-cone-mastery"	Horn-Cone Mastery
fluent in critter	"feat:fluent-in-critter"	Fluent in Critter
regenerative blood	"feat:regenerative-blood"	Regenerative Blood
memory recovery	"feat:memory-recovery"	Memory Recovery
cellular acceleration	"feat:cellular-acceleration"	Cellular Acceleration
advanced gunner	"feat:advanced-gunner"	Advanced Gunner
rapid excavations	"feat:rapid-excavations"	Rapid Excavations
improved seismic sensitivity	"feat:improved-seismic-sensitivity"	Improved Seismic Sensitivity
cerebral circumvention	"feat:cerebral-circumvention"	Cerebral Circumvention
caterwaul strut	"feat:caterwaul-strut"	Caterwaul Strut
skillful encouragement	"feat:skillful-encouragement"	Skillful Encouragement
gelid bite	"feat:gelid-bite"	Gelid Bite
commanding pheromones	"feat:commanding-pheromones"	Commanding Pheromones
harmonic convergence	"feat:harmonic-convergence"	Harmonic Convergence
perfectly balanced	"feat:perfectly-balanced"	Perfectly Balanced
nanite tantrum	"feat:nanite-tantrum"	Nanite Tantrum
all hands on deck	"feat:all-hands-on-deck"	All Hands on Deck
homeguard	"feat:homeguard"	Homeguard
hunker down	"feat:hunker-down"	Hunker Down
unrelenting joy	"feat:unrelenting-joy"	Unrelenting Joy
advanced distortion	"feat:advanced-distortion"	Advanced Distortion
electrolocation	"feat:electrolocation"	Electrolocation
heightened metabolic adaptation	"feat:heightened-metabolic-adaptation"	Heightened Metabolic Adaptation
solar weapon customization	"feat:solar-weapon-customization"	Solar Weapon Customization
just like rehearsal	"feat:just-like-rehearsal"	Just Like Rehearsal
kiss it better	"feat:kiss-it-better"	Kiss it Better
smooth operator	"feat:smooth-operator"	Smooth Operator
start again	"feat:start-again"	Start Again
work's never done	"feat:works-never-done"	Work's Never Done
carry their memories	"feat:carry-their-memories"	Carry Their Memories
brutal barrage	"feat:brutal-barrage"	Brutal Barrage
psychic constellation	"feat:psychic-constellation"	Psychic Constellation
aurum authority	"feat:aurum-authority"	Aurum Authority
hidden talent	"feat:hidden-talent"	Hidden Talent
dramatic blocking	"feat:dramatic-blocking"	Dramatic Blocking
flip the script	"feat:flip-the-script"	Flip the Script
clustered shots	"feat:clustered-shots"	Clustered Shots
astrophysicist	"feat:astrophysicist"	Astrophysicist
swerveshift	"feat:swerveshift"	Swerveshift
shifter's reach	"feat:shifters-reach"	Shifter's Reach
nanite arena	"feat:nanite-arena"	Nanite Arena
adaptable intellect	"feat:adaptable-intellect"	Adaptable Intellect
jet	"feat:jet"	Jet
rapid mantel	"feat:rapid-mantel"	Rapid Mantel
undead scholar	"feat:undead-scholar"	Undead Scholar
cosmic caster	"feat:cosmic-caster"	Cosmic Caster
phasorq whiz	"feat:phasorq-whiz"	Phasorq Whiz
hold the line	"feat:hold-the-line"	Hold the Line
subtle coloration	"feat:subtle-coloration"	Subtle Coloration
born to fly	"feat:born-to-fly"	Born to Fly
brood-minder	"feat:brood-minder"	Brood-Minder
hard-fought freedom	"feat:hard-fought-freedom"	Hard-Fought Freedom
sense emotions	"feat:sense-emotions"	Sense Emotions
ferocious berating	"feat:ferocious-berating"	Ferocious Berating
danger awareness	"feat:danger-awareness"	Danger Awareness
nonthreatening visage	"feat:nonthreatening-visage"	Nonthreatening Visage
absorb magic	"feat:absorb-magic"	Absorb Magic
arctic bite	"feat:arctic-bite"	Arctic Bite
repurpose mystic power	"feat:repurpose-mystic-power"	Repurpose Mystic Power
insatiable speedster	"feat:insatiable-speedster"	Insatiable Speedster
harnessing fate	"feat:harnessing-fate"	Harnessing Fate
hardened plates	"feat:hardened-plates"	Hardened Plates
devastating aim	"feat:devastating-aim"	Devastating Aim
hurry	"feat:hurry"	Hurry
lucky improviser	"feat:lucky-improviser"	Lucky Improviser
waste not	"feat:waste-not"	Waste Not
accelerated mind	"feat:accelerated-mind"	Accelerated Mind
hologram skeptic	"feat:hologram-skeptic"	Hologram Skeptic
vicious takedown	"feat:vicious-takedown"	Vicious Takedown
natural grace	"feat:natural-grace"	Natural Grace
experienced laborer	"feat:experienced-laborer"	Experienced Laborer
opportune retort	"feat:opportune-retort"	Opportune Retort
mighty guardian	"feat:mighty-guardian"	Mighty Guardian
not so vestigial	"feat:not-so-vestigial"	Not So Vestigial
drift strike	"feat:drift-strike"	Drift Strike
monitoring bond	"feat:monitoring-bond"	Monitoring Bond
cleanse spirit	"feat:cleanse-spirit"	Cleanse Spirit
search high and low!	"feat:search-high-and-low"	Search High and Low!
sequester form	"feat:sequester-form"	Sequester Form
binnaquid lore	"feat:binnaquid-lore"	Binnaquid Lore
legendary professional	"feat:legendary-professional"	Legendary Professional
galactic bond	"feat:galactic-bond"	Galactic Bond
expeditious search	"feat:expeditious-search"	Expeditious Search
underfoot	"feat:underfoot"	Underfoot
strobe light	"feat:strobe-light"	Strobe Light
expert witchwarper spellcasting	"feat:expert-witchwarper-spellcasting"	Expert Witchwarper Spellcasting
puzzling outburst	"feat:puzzling-outburst"	Puzzling Outburst
lashunta lore	"feat:lashunta-lore"	Lashunta Lore
devoted pet owner	"feat:devoted-pet-owner"	Devoted Pet Owner
psychic fungal mastery	"feat:psychic-fungal-mastery"	Psychic Fungal Mastery
back to back bond	"feat:back-to-back-bond"	Back to Back Bond
floating balance	"feat:floating-balance"	Floating Balance
always prepared	"feat:always-prepared"	Always Prepared
automatic knowledge	"feat:automatic-knowledge"	Automatic Knowledge
defensive instinct	"feat:defensive-instinct"	Defensive Instinct
fortified monument	"feat:fortified-monument"	Fortified Monument
nonlethal spell	"feat:nonlethal-spell-peacekeeper"	Nonlethal Spell (Peacekeeper)
salvo	"feat:salvo"	Salvo
surprising pop-up	"feat:surprising-pop-up"	Surprising Pop-Up
lengthy diversion	"feat:lengthy-diversion"	Lengthy Diversion
wasteland warrior	"feat:wasteland-warrior"	Wasteland Warrior
forgotten heritage	"feat:forgotten-heritage"	Forgotten Heritage
propulsive shield	"feat:propulsive-shield"	Propulsive Shield
squox stance	"feat:squox-stance"	Squox Stance
prophet	"feat:prophet"	Prophet
powerful leap	"feat:powerful-leap"	Powerful Leap
bolstered by battle	"feat:bolstered-by-battle"	Bolstered By Battle
timely team up	"feat:timely-team-up"	Timely Team Up
brawler lfan	"feat:brawler-lfan"	Brawler LFAN
mounted unity	"feat:mounted-unity"	Mounted Unity
lifelike	"feat:lifelike"	Lifelike
twin shooter	"feat:twin-shooter"	Twin Shooter
linguistic master	"feat:linguistic-master"	Linguistic Master
launching jump	"feat:launching-jump"	Launching Jump
ruin delver	"feat:ruin-delver"	Ruin Delver
swear vengeance	"feat:swear-vengeance"	Swear Vengeance
cantrip expansion	"feat:cantrip-expansion"	Cantrip Expansion
mighty shoulders	"feat:mighty-shoulders"	Mighty Shoulders
environmental adaptation	"feat:environmental-adaptation"	Environmental Adaptation
come get some!	"feat:come-get-some"	Come Get Some!
glimpse of the bloom	"feat:glimpse-of-the-bloom"	Glimpse of the Bloom
caustic biotoxins	"feat:caustic-biotoxins"	Caustic Biotoxins
advanced general training	"feat:advanced-general-training"	Advanced General Training
give 'em the slip	"feat:give-em-the-slip"	Give 'Em the Slip
diehard	"feat:diehard"	Diehard
treasure on my heart	"feat:treasure-on-my-heart"	Treasure on My Heart
bulky armplates	"feat:bulky-armplates"	Bulky Armplates
instinctive aim	"feat:instinctive-aim"	Instinctive Aim
powerful exhalation	"feat:powerful-exhalation"	Powerful Exhalation
swamp walker	"feat:swamp-walker"	Swamp Walker
trampling stride	"feat:trampling-stride"	Trampling Stride
synthesized black hole	"feat:synthesized-black-hole"	Synthesized Black Hole
repeating role	"feat:repeating-role"	Repeating Role
stretching reach	"feat:stretching-reach-nuar"	Stretching Reach (Nuar)
radiant zone	"feat:radiant-zone"	Radiant Zone
ancestral cantrip	"feat:ancestral-cantrip"	Ancestral Cantrip
spotlight	"feat:spotlight"	Spotlight
encore	"feat:encore"	Encore
foil senses	"feat:foil-senses"	Foil Senses
according to my calculations	"feat:according-to-my-calculations"	According to My Calculations
you can do it	"feat:you-can-do-it"	You Can Do It
basic epiphany	"feat:basic-epiphany"	Basic Epiphany
stride between	"feat:stride-between"	Stride Between
magitech weapon adjustment	"feat:magitech-weapon-adjustment"	Magitech Weapon Adjustment
efficient craftwork	"feat:efficient-craftwork"	Efficient Craftwork
wild bond	"feat:wild-bond"	Wild Bond
skulking strike	"feat:skulking-strike"	Skulking Strike
suppressing fire	"feat:suppressing-fire"	Suppressing Fire
rubbery body	"feat:rubbery-body"	Rubbery Body
sympathetic bond	"feat:sympathetic-bond"	Sympathetic Bond
gorge	"feat:gorge"	Gorge
legendary thief	"feat:legendary-thief"	Legendary Thief
a different sort of fey	"feat:a-different-sort-of-fey"	A Different Sort of Fey
yaraesa's antennae	"feat:yaraesas-antennae"	Yaraesa's Antennae
mournful howl	"feat:mournful-howl"	Mournful Howl
weave obscurity	"feat:weave-obscurity"	Weave Obscurity
realized epiphany	"feat:realized-epiphany"	Realized Epiphany
enhanced senses	"feat:enhanced-senses"	Enhanced Senses
art is dead	"feat:art-is-dead"	Art is Dead
quick identification	"feat:quick-identification"	Quick Identification
eyeswide detective dedication	"feat:eyeswide-detective-dedication"	Eyeswide Detective Dedication
swift sneak	"feat:swift-sneak"	Swift Sneak
grapple dance	"feat:grapple-dance"	Grapple Dance
fatal error	"feat:fatal-error"	Fatal Error
in hylax's name	"feat:in-hylaxs-name"	In Hylax's Name
tale spinner	"feat:tale-spinner"	Tale Spinner
fading presence	"feat:fading-presence"	Fading Presence
synthesize vapor	"feat:synthesize-vapor"	Synthesize Vapor
franchise manager dedication	"feat:franchise-manager-dedication"	Franchise Manager Dedication
promising pharmaceutical	"feat:promising-pharmaceutical"	Promising Pharmaceutical
load-bearing hero	"feat:load-bearing-hero"	Load-Bearing Hero
bullet dance	"feat:bullet-dance"	Bullet Dance
pulonis softstep	"feat:pulonis-softstep"	Pulonis Softstep
pahtra caterwaul	"feat:pahtra-caterwaul"	Pahtra Caterwaul
crowd control	"feat:crowd-control"	Crowd Control
speak with spirit	"feat:speak-with-spirit"	Speak with Spirit
shell magic	"feat:shell-magic"	Shell Magic
armored shell	"feat:armored-shell"	Armored Shell
reassuring presence	"feat:reassuring-presence"	Reassuring Presence
deceptive reach	"feat:deceptive-reach"	Deceptive Reach
universal telepath	"feat:universal-telepath"	Universal Telepath
plantlike	"feat:plantlike"	Plantlike
deep water vision	"feat:deep-water-vision"	Deep Water Vision
nanite surge	"feat:nanite-surge"	Nanite Surge
improvised legend	"feat:improvised-legend"	Improvised Legend
scattering fire	"feat:scattering-fire"	Scattering Fire
look alive	"feat:look-alive"	Look Alive
aberrant shape	"feat:aberrant-shape"	Aberrant Shape
able assistant	"feat:able-assistant"	Able Assistant
lfan modder	"feat:lfan-modder"	LFAN Modder
keep rolling	"feat:keep-rolling"	Keep Rolling
scrap shield	"feat:scrap-shield"	Scrap Shield
zero-g tail	"feat:zero-g-tail"	Zero-G Tail
damaya self-perfection	"feat:damaya-self-perfection"	Damaya Self-Perfection
rush of adrenaline	"feat:rush-of-adrenaline"	Rush of Adrenaline
wide field of view	"feat:wide-field-of-view"	Wide Field of View
sapping psychic	"feat:sapping-psychic"	Sapping Psychic
let it ride	"feat:let-it-ride"	Let it Ride
current rider	"feat:current-rider"	Current Rider
a life for a life	"feat:a-life-for-a-life"	A Life For a Life
brightbomb	"feat:brightbomb"	Brightbomb
instant genetic recall	"feat:instant-genetic-recall"	Instant Genetic Recall
efficient assistant	"feat:efficient-assistant"	Efficient Assistant
darkvision adaptation	"feat:darkvision-adaptation"	Darkvision Adaptation
shameless request	"feat:shameless-request"	Shameless Request
galvanic onslaught	"feat:galvanic-onslaught"	Galvanic Onslaught
baleful gaze	"feat:baleful-gaze"	Baleful Gaze
sharpshooter	"feat:sharpshooter"	Sharpshooter
extended family	"feat:extended-family"	Extended Family
seven-eyed scrutiny	"feat:seven-eyed-scrutiny"	Seven-Eyed Scrutiny
rub it in	"feat:rub-it-in"	Rub It In
mindward shield	"feat:mindward-shield"	Mindward Shield
clever improviser	"feat:clever-improviser"	Clever Improviser
absolute unit	"feat:absolute-unit"	Absolute Unit
sigiled scales	"feat:sigiled-scales"	Sigiled Scales
legendary medic	"feat:legendary-medic"	Legendary Medic
group impression	"feat:group-impression"	Group Impression
savvy architect	"feat:savvy-architect"	Savvy Architect
i'm no rat	"feat:im-no-rat"	I'm No Rat
cautious trespasser	"feat:cautious-trespasser"	Cautious Trespasser
novel mutation	"feat:novel-mutation"	Novel Mutation
reactive shapeshifting	"feat:reactive-shapeshifting"	Reactive Shapeshifting
titan wrestler	"feat:titan-wrestler"	Titan Wrestler
dust devil spin	"feat:dust-devil-spin"	Dust Devil Spin
thermal conversion	"feat:thermal-conversion"	Thermal Conversion
partial corpsefolk	"feat:partial-corpsefolk"	Partial Corpsefolk
ancestral growth	"feat:ancestral-growth"	Ancestral Growth
ghost courier dedication	"feat:ghost-courier-dedication"	Ghost Courier Dedication
ready to roll	"feat:ready-to-roll"	Ready to Roll
supersonic speed	"feat:supersonic-speed"	Supersonic Speed
pardon me	"feat:pardon-me"	Pardon Me
gift of gadrathar	"feat:gift-of-gadrathar"	Gift of Gadrathar
unleash pneuma	"feat:unleash-pneuma"	Unleash Pneuma
follow the bouncing maraquoi	"feat:follow-the-bouncing-maraquoi"	Follow the Bouncing Maraquoi
bond boost	"feat:bond-boost"	Bond Boost
disperse!	"feat:disperse"	Disperse!
empowered scales	"feat:empowered-scales"	Empowered Scales
call forth gravity	"feat:call-forth-gravity"	Call Forth Gravity
cooperative	"feat:cooperative"	Cooperative
overcrowd	"feat:overcrowd"	Overcrowd
cat fall	"feat:cat-fall"	Cat Fall
relentless tentacles	"feat:relentless-tentacles"	Relentless Tentacles
major miner	"feat:major-miner"	Major Miner
mutable manifestation	"feat:mutable-manifestation"	Mutable Manifestation
raise crystalline strands	"feat:raise-crystalline-strands"	Raise Crystalline Strands
shroud of shattered spirits	"feat:shroud-of-shattered-spirits"	Shroud of Shattered Spirits
septocular	"feat:septocular"	Septocular
psychic talent	"feat:psychic-talent"	Psychic Talent
advanced epiphany	"feat:advanced-epiphany"	Advanced Epiphany
esoteric education	"feat:esoteric-education"	Esoteric Education
absolute empathy	"feat:absolute-empathy"	Absolute Empathy
activate all brains!	"feat:activate-all-brains"	Activate All Brains!
predictive positioning	"feat:predictive-positioning"	Predictive Positioning
sticky secretions	"feat:sticky-secretions"	Sticky Secretions
sanctuary kin	"feat:sanctuary-kin"	Sanctuary Kin
doom-strengthened	"feat:doom-strengthened"	Doom-Strengthened
lucky shot	"feat:lucky-shot"	Lucky Shot
primafloral adaptation	"feat:primafloral-adaptation"	Primafloral Adaptation
spew acidic bile	"feat:spew-acidic-bile"	Spew Acidic Bile
you'll have to go through me!	"feat:youll-have-to-go-through-me"	You'll Have to Go Through Me!
comfortable carrier	"feat:comfortable-carrier"	Comfortable Carrier
exact retribution	"feat:exact-retribution"	Exact Retribution
toxic breath	"feat:toxic-breath"	Toxic Breath
persistent tactics	"feat:persistent-tactics"	Persistent Tactics
shobhad spirit-blessed	"feat:shobhad-spirit-blessed"	Shobhad Spirit-Blessed
adaptive resistance	"feat:adaptive-resistance"	Adaptive Resistance
hulking corpsefolk	"feat:hulking-corpsefolk"	Hulking Corpsefolk
land feet first	"feat:land-feet-first"	Land Feet First
fire fighter	"feat:fire-fighter"	Fire Fighter
abadarcorp rep dedication	"feat:abadar-corp-rep-dedication"	AbadarCorp Rep Dedication
quantum research	"feat:quantum-research"	Quantum Research
commanding height	"feat:commanding-height"	Commanding Height
soothing anchor	"feat:soothing-anchor"	Soothing Anchor
etheric	"feat:etheric"	Etheric
gravity slam	"feat:gravity-slam"	Gravity Slam
metallic augmentation xtractor	"feat:metallic-augmentation-xtractor"	Metallic Augmentation Xtractor
linguistic prodigy	"feat:linguistic-prodigy"	Linguistic Prodigy
spiritual wards	"feat:spiritual-wards"	Spiritual Wards
twin weapons	"feat:twin-weapons"	Twin Weapons
sheltering limbs	"feat:sheltering-limbs"	Sheltering Limbs
recognize spell	"feat:recognize-spell"	Recognize Spell
icy spelunker	"feat:icy-spelunker"	Icy Spelunker
sprint	"feat:sprint"	Sprint
distracting cling	"feat:distracting-cling"	Distracting Cling
akashic transcendence	"feat:akashic-transcendence"	Akashic Transcendence
aberrant thoughts	"feat:aberrant-thoughts"	Aberrant Thoughts
elebrian cantrip	"feat:elebrian-cantrip"	Elebrian Cantrip
zone overlap	"feat:zone-overlap"	Zone Overlap
adapted augmentations	"feat:adapted-augmentations"	Adapted Augmentations
stubborn corpse	"feat:stubborn-corpse"	Stubborn Corpse
river rider	"feat:river-rider"	River Rider
uncanny awareness	"feat:uncanny-awareness"	Uncanny Awareness
exclusively quadrupedal	"feat:exclusively-quadrupedal"	Exclusively Quadrupedal
cheek holster	"feat:cheek-holster"	Cheek Holster
galaxy brain	"feat:galaxy-brain"	Galaxy Brain
incredible ferocity	"feat:incredible-ferocity"	Incredible Ferocity
hyperfixated researcher	"feat:hyperfixated-researcher"	Hyperfixated Researcher
face in the crowd	"feat:face-in-the-crowd"	Face in the Crowd
pause button	"feat:pause-button"	Pause Button
fast recovery	"feat:fast-recovery"	Fast Recovery
binaric assault	"feat:binaric-assault"	Binaric Assault
blinding awe	"feat:blinding-awe"	Blinding Awe
barathu lore	"feat:barathu-lore"	Barathu Lore
trifaction negotiator	"feat:trifaction-negotiator"	Trifaction Negotiator
deepspeaker	"feat:deepspeaker"	Deepspeaker
make them pay	"feat:make-them-pay"	Make Them Pay
willful defiance	"feat:willful-defiance"	Willful Defiance
religious talisman	"feat:religious-talisman"	Religious Talisman
complete transposition	"feat:complete-transposition"	Complete Transposition
exceptional artisan	"feat:exceptional-artisan"	Exceptional Artisan
sudden withdrawal	"feat:sudden-withdrawal"	Sudden Withdrawal
hampering flare	"feat:hampering-flare"	Hampering Flare
adapt to injury	"feat:adapt-to-injury"	Adapt to Injury
tunnel scout	"feat:tunnel-scout"	Tunnel Scout
peacekeeper adornments	"feat:peacekeeper-adornments"	Peacekeeper Adornments
desert stride	"feat:desert-stride"	Desert Stride
see the pattern	"feat:see-the-pattern"	See the Pattern
you should see the other guy	"feat:you-should-see-the-other-guy"	You Should See the Other Guy
defensive-minded	"feat:defensive-minded"	Defensive-Minded
wind walker	"feat:wind-walker"	Wind Walker
headstrong	"feat:headstrong"	Headstrong
blossoming technology	"feat:blossoming-technology"	Blossoming Technology
vital sap	"feat:vital-sap"	Vital Sap
bullet hell	"feat:bullet-hell"	Bullet Hell
vibe eruption	"feat:vibe-eruption"	Vibe Eruption
magic collate ball	"feat:magic-collate-ball"	Magic Collate Ball
talon transporter	"feat:talon-transporter"	Talon Transporter
blue mood	"feat:blue-mood"	Blue Mood
stinging tendril	"feat:stinging-tendril"	Stinging Tendril
broodless	"feat:broodless"	Broodless
double dip	"feat:double-dip"	Double Dip
plasma ejection	"feat:plasma-ejection"	Plasma Ejection
looking out for myself	"feat:looking-out-for-myself"	Looking Out for Myself
claws of the artist	"feat:claws-of-the-artist"	Claws of the Artist
soul sustenance	"feat:soul-sustenance"	Soul Sustenance
shobhad special	"feat:shobhad-special"	Shobhad Special
patient waiter	"feat:patient-waiter"	Patient Waiter
bouncy ball	"feat:bouncy-ball"	Bouncy Ball
starship mechanic	"feat:starship-mechanic"	Starship Mechanic
magnetic projectile	"feat:magnetic-projectile"	Magnetic Projectile
shooting star	"feat:shooting-star"	Shooting Star
gun expert	"feat:gun-expert"	Gun Expert
infinite ammo trick	"feat:infinite-ammo-trick"	Infinite Ammo Trick
overwatch	"feat:overwatch"	Overwatch
fissile budding	"feat:fissile-budding"	Fissile Budding
advanced design specialization	"feat:advanced-design-specialization"	Advanced Design Specialization
logical paradox	"feat:logical-paradox"	Logical Paradox
quip	"feat:quip"	Quip
activate sensilla	"feat:activate-sensilla"	Activate Sensilla
precise coagulation	"feat:precise-coagulation"	Precise Coagulation
not in the face	"feat:not-in-the-face"	Not in the Face
nanite form	"feat:nanite-form"	Nanite Form
helping hand	"feat:helping-hand"	Helping Hand
ancient izalguun engineering	"feat:ancient-izalguun-engineering"	Ancient Izalguun Engineering
psychic master	"feat:psychic-master"	Psychic Master
whisper to the restoring waters	"feat:whisper-to-the-restoring-waters"	Whisper to the Restoring Waters
telepathic conduit	"feat:telepathic-conduit"	Telepathic Conduit
telepathic onslaught	"feat:telepathic-onslaught"	Telepathic Onslaught
quick climb	"feat:quick-climb"	Quick Climb
mediator	"feat:mediator"	Mediator
pharmacologically impervious	"feat:pharmacologically-impervious"	Pharmacologically Impervious
groundbreaking stride	"feat:groundbreaking-stride"	Groundbreaking Stride
kinesthetic awareness	"feat:kinesthetic-awareness"	Kinesthetic Awareness
skill training	"feat:skill-training"	Skill Training
multi-armed grab	"feat:multi-armed-grab"	Multi-Armed Grab
widen spell	"feat:widen-spell"	Widen Spell
witchwarper dedication	"feat:witchwarper-dedication"	Witchwarper Dedication
multilingual	"feat:multilingual"	Multilingual
camouvisage	"feat:camouvisage"	Camouvisage
memories of ashok	"feat:memories-of-ashok"	Memories of Ashok
well-loved trinket	"feat:well-loved-trinket"	Well-Loved Trinket
scrounge for food	"feat:scrounge-for-food"	Scrounge for Food
secrete numbing saliva	"feat:secrete-numbing-saliva"	Secrete Numbing Saliva
vulkari linguist	"feat:vulkari-linguist"	Vulkari Linguist
warp wounds	"feat:warp-wounds"	Warp Wounds
elebrian lore	"feat:elebrian-lore"	Elebrian Lore
assistive goo gush	"feat:assistive-goo-gush"	Assistive Goo Gush
izalraan gatherer's lore	"feat:izalraan-gatherers-lore"	Izalraan Gatherer's Lore
nanite armament boost	"feat:nanite-armament-boost"	Nanite Armament Boost
quantum breadth	"feat:quantum-breadth"	Quantum Breadth
diplomatic retreat	"feat:diplomatic-retreat"	Diplomatic Retreat
proleptic parry	"feat:proleptic-parry"	Proleptic Parry
hostile gravity	"feat:hostile-gravity"	Hostile Gravity
attuned blow	"feat:attuned-blow"	Attuned Blow
historian	"feat:historian"	Historian
impeccable crafting	"feat:impeccable-crafting"	Impeccable Crafting
body electric	"feat:body-electric"	Body Electric
glitter everywhere	"feat:glitter-everywhere"	Glitter Everywhere
natural ambition	"feat:natural-ambition"	Natural Ambition
bionanite skin	"feat:bionanite-skin"	Bionanite Skin
cheek pouches	"feat:cheek-pouches"	Cheek Pouches
consistently quadrupedal	"feat:consistently-quadrupedal"	Consistently Quadrupedal
draconic lethality	"feat:draconic-lethality"	Draconic Lethality
called to war	"feat:called-to-war"	Called to War
bonded tandem feint	"feat:bonded-tandem-feint"	Bonded Tandem Feint
just happy to help!	"feat:just-happy-to-help"	Just Happy to Help!
practiced purification	"feat:practiced-purification"	Practiced Purification
dragonkin breath	"feat:dragonkin-breath"	Dragonkin Breath
